	wl	pwr	pwrvar
105	440.0	0.8703593097884079	7.493961239260188e-06
106	438.0	0.8570734986237117	6.4302246317072394e-06
107	436.0	0.8441520439726966	8.70372778143482e-06
108	434.0	0.8284062804846928	9.92543433528897e-06
109	432.0	0.8099307864904404	1.4397083700863028e-05
110	430.0	0.8049746936765211	1.114165921040124e-05
111	428.0	0.8009549338242103	8.035721510284905e-06
112	426.0	0.7980900287628174	8.12047120234638e-06
113	424.0	0.794831903775533	3.614313207770515e-06
114	422.0	0.8024214439921908	8.10718026961953e-06
115	420.0	0.7993183793692753	7.543101385402913e-06
116	418.0	0.7745416739157268	1.1464282626069518e-05
117	416.0	0.7494351438113621	1.0631662395371156e-05
118	414.0	0.7407374813638884	4.45635718485154e-06
119	412.0	0.7241819381713868	7.434333904730769e-06
120	410.0	0.705327148948397	5.943420431346516e-06
