	wl	pwr	pwrvar
104	548.0	0.6002632021903992	1.1181720282043745e-05
105	546.0	0.5928241440228054	7.712587613605023e-06
106	544.0	0.6053775350252787	4.297633538009727e-06
107	542.0	0.6298143473955301	7.0549207370241906e-06
108	540.0	0.6461006875695854	5.4487001766876525e-06
109	538.0	0.6490521649519603	3.0579834201402727e-06
110	536.0	0.6390402336915334	4.338180911267228e-06
111	534.0	0.6357590350611456	6.402337298116457e-06
112	532.0	0.6522973966598511	3.804100379829834e-06
113	530.0	0.667544619790439	5.320781543213054e-06
114	528.0	0.6665583690007527	1.0401227860496772e-05
115	526.0	0.6444660403898784	3.420513575106489e-06
116	524.0	0.6311381260553995	5.692557816732662e-06
117	522.0	0.6427068180508084	4.838884829508168e-06
118	520.0	0.6707693715890248	2.1488660554030366e-06
